     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,06/09/2012-06/15/2012,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,LIB SPEC SEN,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,                                                                                          
R069,NEW LOTS AVENUE               ,00013518,00000566,00000156,00000225,00000000,00009487,00006353,00000000,00000000,00000000,00000000,00000022,00000000,00000006,00000436,00000012,00000024,00000000,00000053,00000000,00000000,00000000,00000000,                                                                                                                               
R070,ST GEORGE TERMINAL            ,00035652,00001506,00000052,00000313,00000002,00003712,00009888,00000000,00000000,00000000,00000000,00000790,00000000,00000010,00000574,00000777,00000053,00000000,00000177,00000000,00000000,00000000,00000000,                                                                                                                               
R079,FIFTH AVENUE & 60TH STREET    ,00058355,00002522,00000196,00000471,00000289,00017058,00034719,00000000,00000000,00000000,00000000,00000591,00000000,00000478,00002401,00000798,00000310,00000000,00000399,00000000,00000000,00000000,00000000,                                                                                                                               
R080,57TH STREET & 7TH AVENUE      ,00073056,00003889,00000262,00000915,00000202,00022747,00058761,00000000,00000000,00000000,00000000,00000670,00000000,00000385,00003758,00001076,00000491,00000000,00000538,00000000,00000000,00000000,00000000,                                                                                                                               
R081,49TH STREET & 7TH AVENUE      ,00074263,00002725,00000265,00000776,00000109,00026255,00054379,00000000,00000000,00000000,00000000,00000753,00000000,00000159,00002314,00000935,00000498,00000000,00000759,00000000,00000000,00000000,00000000,                                                                                                                               
R082,28TH STREET & BROADWAY        ,00032269,00001114,00000147,00000355,00000039,00011862,00026592,00000000,00000000,00000000,00000000,00000266,00000000,00000056,00000770,00000293,00000231,00000000,00000275,00000000,00000000,00000000,00000000,                                                                                                                               
R083,23RD STREET & 5TH AVENUE      ,00063983,00002276,00000177,00000582,00000148,00019512,00053947,00000000,00000000,00000000,00000000,00000688,00000000,00000202,00001824,00000896,00000456,00000000,00000477,00000000,00000000,00000000,00000000,                                                                                                                               
R084,59TH STREET/COLUMBUS CIRCLE   ,00182676,00009246,00000743,00002304,00000875,00060145,00123632,00000000,00000000,00000000,00000000,00001207,00000000,00001415,00005507,00002485,00001092,00000000,00001506,00000000,00000000,00000000,00000000,                                                                                                                               
R085,8TH STREET & BROADWAY         ,00049798,00002147,00000159,00000515,00000148,00014717,00043056,00000000,00000000,00000000,00000000,00000345,00000000,00000230,00001046,00000639,00000362,00000000,00000467,00000000,00000000,00000000,00000000,                                                                                                                               
R086,PRINCE STREET & BROADWAY      ,00051784,00001175,00000100,00000289,00000106,00018758,00036768,00000000,00000000,00000000,00000000,00000273,00000001,00000143,00001001,00000510,00000334,00000000,00000544,00000000,00000000,00000000,00000000,                                                                                                                               
